product,name,type,on_a_grid,printable,challenging,family,games
p100,Countries - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p101,"The Year Was..." Music Bingo 5-Pack,music-bingo,music eras bundles,yes,,,5
p102,TV Shows 1 - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p103,Christmas Party - 250 Music Bingo Cards,music-bingo,music holidays,yes,,,1
p106,Movie Soundtracks 1 - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p108,"Entertainers" Music Bingo 3-Pack,music-bingo,music bundles,yes,,,3
p109,Body Parts - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p110,Out Of This World - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p111,Girls Vs Boys,music-bingo,music holidays,yes,,,1
p112,Music Bingo Gold Club,music-bingo,music bundles,yes,,,50
p113,The 90s - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p114,Antonyms - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p115,The 70s - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p116,Anagrams - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p117,Nicknames - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p121,Life's A Beach - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p122,Cities - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p123,"Music Trivia Party" Game Show - 3 Pack,trivia-show,shows bundles,no,,,3
p124,Stadium Songs - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p126,"Video Games" Trivia - 3 Pack,trivia-show,shows bundles,no,,,3
p127,Movie Soundtracks - 3 Pack,music-bingo,music bundles hard,yes,yes,,3
p128,One Hit Wonders 2-Pack,music-bingo,music bundles,yes,,,2
p129,Cover Tunes - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p13,Sports Pub Night - "The Olympics",trivia-show,shows,no,,,1
p130,Music Bingo Silver Club,music-bingo,music bundles,yes,,,25
p131,Music Bingo Starter Pack — Top 10 (Bronze),music-bingo,music bundles,yes,,,10
p132,Road Trip! - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p133,Cartoons - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p135,Valentine's Day Trivia 2-Pack,,holidays bundles,,,,2
p136,St. Patrick's Day - 250 Music Bingo Cards,music-bingo,music holidays,yes,,,1
p138,A Bunch of "Babies" - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p140,Zoom Party - Music Bingo Trivia Comedy,,virtual,,,,
p141,Rowdy Country - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p143,Motown - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p144,The 80s - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p145,Colors - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p146,The 2000s - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p147,"Decades" Music Bingo 5-Pack,music-bingo,music eras bundles,yes,,,5
p148,Guitar Gods - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p149,April Fools (Soundalikes) - 250 Music Bingo Cards,,holidays,,,,1
p153,The 60s - 250 Music Bingo Cards,,eras,,,,1
p155,"Holidays" Music Bingo 6-Pack,music-bingo,music holidays bundles,yes,,,6
p156,Numbers - 250 Music Bingo Cards,music-bingo,music,yes,,,1
p158,Acronyms - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p159,Disco - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p160,90s R&B - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p162,Word Games - 3 Pack,music-bingo,music bundles hard,yes,yes,,3
p163,TV Shows 2 - 250 Music Bingo Cards,music-bingo,music hard,yes,yes,,1
p165,Around The World... And Beyond! - Music Bingo 4-Pack,music-bingo,music bundles,yes,,,4
p166,Party Starter - Music Bingo 4-Pack,music-bingo,music bundles,yes,,,4
p167,Punk Rock - 250 Music Bingo Cards,music-bingo,music eras,yes,,,1
p168,&quot;Things In Songs&quot; Music Bingo 5-Pack,music-bingo,music bundles,yes,,,5
p169,General Knowledge Night One — Print and Play Trivia Show,trivia-show,shows,no,,,1
p170,General Knowledge Night Two — Print and Play Trivia Show,trivia-show,shows,no,,,1
p171,General Knowledge Night Three — Print and Play Trivia Show,trivia-show,shows,no,,,1
p172,General Knowledge Night Four — Print and Play Trivia Show,trivia-show,shows,no,,,1
p173,General Knowledge Night Five — Print and Play Trivia Show,trivia-show,shows,no,,,1
p174,Halloween Trivia Night — Print and Play Trivia Show,trivia-show,shows holidays,no,,,1
p176,General Knowledge Trivia Shows — 5-Pack,trivia-show,shows bundles,no,,,5
